id,title,content,keywords,publication_date,processed_text,ce_areas,ai_technologies,num_ce_tags,num_ai_tags
109,Construction Robot Market | Global Market Analysis Report - 2035,"Construction Robot Market was worth USD 4.2 billion in 2025, and is predicted to grow to USD 12.1 billion by 2035, with a CAGR of 11.2%.",structural engineering robotics,2025-12-27,construction robot market worth usd billion 2025 predicted grow usd billion 2035 cagr,Structural,Robotics/Automation,1,1
110,Humanoid robots in the construction industry: A future vision,Humanoid robots are still at the pilot stage but could emerge as the solution to the construction sector's productivity problem. How can industry leaders...,structural engineering robotics,2025-12-27,humanoid robot still pilot stage emerge solution construction sector productivity problem industry leader,,Robotics/Automation,0,1
111,New spider-like robot ‘Charlotte’ can 3D print a house in 24 hours,Australian robotics engineering startup Crest Robotics and Earthbuilt Technology have developed a semi-autonomous robot named Charlotte that blends robotics...,structural engineering robotics,2025-12-27,australian robotics engineering startup crest robotics earthbuilt technology developed semi autonomous robot named charlotte blend robotics,Geotechnical,Robotics/Automation,1,1
112,Spider-like construction robot promises to build a home per day,"Construction robots have been around for a while, automating challenging tasks on job sites. The new kid on this block is called Charlotte, and it's billed...",structural engineering robotics,2025-12-27,construction robot around automating challenging task job site new kid block called charlotte billed,,Robotics/Automation,0,1
113,Structural Engineering Firm,"State: California Revenue: $7,500,000. Category: Engineering Firms (non-medical) Listing ID: CA-E001.",structural engineering automation,2025-12-27,state california revenue 500 000 category engineering firm non medical listing e001,Structural,,1,0
114,Food Processing Automation Integrator,"Revenue: $75,000,000. Category: Automation(Non-Medical) Listing ID: X-A001. Company Overview PRIME exits® is proud to be the exclusive representative of a...",structural engineering automation,2025-12-27,revenue 000 000 category automation non medical listing a001 company overview prime exit proud exclusive representative,,Robotics/Automation,0,1
115,Robotics for Logistics Automation,"State: Multi-State, USA Revenue: $58,000,000. Category: Robotics (Non-Medical) Listing ID: X-R001. Company Overview PRIME exits® is proud to be the...",structural engineering automation,2025-12-27,state multi state usa revenue 000 000 category robotics non medical listing r001 company overview prime exit proud,Transportation,Robotics/Automation,1,1
116,Unlimited Industries raises $12 million to build AI construction company to ‘power America’s future’,Unlimited Industries has raised $12 million in seed funding to build an AI-native construction company focused on accelerating US infrastructure.,structural engineering automation,2025-12-27,unlimited industry raised million seed funding build native construction company focused accelerating infrastructure,Structural,Artificial Intelligence,1,1
117,Top 10 Finite Element Analysis Software Companies For 2025,"Finite Element Analysis (FEA) software plays a pivotal role in modern engineering design and simulation, enabling precise modeling of complex structures,...",structural engineering automation,2025-12-27,finite element analysis fea software play pivotal role modern engineering design simulation enabling precise modeling complex structure,Structural,,1,0
118,Cost-benefit analysis of automating modular construction manufacturing for affordable housing,"The potential of modular construction to deliver affordable housing can be enhanced through automation. However, high upfront investment for automation...",structural engineering automation,2025-12-27,potential modular construction deliver affordable housing enhanced automation however high upfront investment automation,Structural,Robotics/Automation,1,1
119,Spacial scoops $10M to disrupt residential construction with engineering automation,"The company just secured $10 million in seed funding led by TLV Partners, with participation from Mango Capital, Re Angels, and HTV, aiming to expand AI...",structural engineering automation,2025-12-27,company secured million seed funding led tlv partner participation mango capital angel htv aiming expand,,"Robotics/Automation, Artificial Intelligence",0,2
120,"ALLPLAN’s 2026 Releases: Transforming the Project Lifecycle with Intelligent Workflows, Automation, and Sustainable Design","Driving productivity, accuracy, and collaboration from Design to BuildMunich, October 15, 2025 – ALLPLAN, the global provider of BIM solutions for the AEC.",structural engineering automation,2025-12-27,driving productivity accuracy collaboration design buildmunich october 2025 allplan global provider bim solution aec,"Structural, Environmental Engineering","Robotics/Automation, Artificial Intelligence",2,2
121,“What unites these projects is the engineering challenge behind them”,"As the specialized division of Spain's ACOM Agrocomponentes, ACOM Lab has spent decades designing and building advanced infrastructure that supports...",structural engineering automation,2025-12-27,specialized division spain acom agrocomponentes acom lab spent decade designing building advanced infrastructure support,Structural,Artificial Intelligence,1,1
122,Which Engineering Branch Has the Best Future Prospects,"Discover Which Engineering Branch is Best For Future! Explore top career options, emerging technologies, and industry demand to make the right choice.",structural engineering automation,2025-12-27,discover engineering branch best future explore top career option emerging technology industry demand make right choice,,,0,0
123,A comparative machine and deep learning approach for predicting ultimate bearing capacity of shallow foundations in cohesionless soil,"This study developed a Python-based framework to predict the ultimate bearing capacity of shallow foundations on cohesionless soil, employing machine...",geotechnical artificial intelligence,2025-12-27,study developed python based framework predict ultimate bearing capacity shallow foundation cohesionless soil employing machine,"Structural, Geotechnical",Machine Learning,2,1
124,Comparative performance evaluation of machine learning models for predicting the ultimate bearing capacity of shallow foundations on granular soils,Accurate estimation of the ultimate bearing capacity (UBC) of shallow foundations is critical for safe and economical geotechnical design.,geotechnical artificial intelligence,2025-12-27,accurate estimation ultimate bearing capacity ubc shallow foundation critical safe economical geotechnical design,"Structural, Geotechnical",Machine Learning,2,1
125,Geophysical-machine learning tool developed for continuous subsurface geomaterials characterization,"Thailand's northern regions, characterized by complex geology and active fault systems, experience frequent landslides that threaten both lives and critical...",geotechnical artificial intelligence,2025-12-27,thailand northern region characterized complex geology active fault system experience frequent landslide threaten life critical,Structural,"Machine Learning, Artificial Intelligence",1,2
126,Hong Kong develops AI-driven landslip warning system with more than 90% accuracy,"New system, to be implemented next year, boosts landslide risk management by combining AI, big data, and real-time rainfall monitoring.",geotechnical artificial intelligence,2025-12-27,new system implemented next year boost landslide risk management combining big data real time rainfall monitoring,,Artificial Intelligence,0,1
127,2025 GeoTech Awards winners revealed,Winner: Tom Hardman. Project: Low-cost open-source geophysics for smarter ground modelling. Best Use of AI & Machine Learning. Winner: Geprode Consultants.,geotechnical artificial intelligence,2025-12-27,winner tom hardman project low cost open source geophysics smarter ground modelling best use machine learning winner geprode consultant,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
128,Machine learning sharpens earthquake risk assessment maps for Tokyo,"Tokyo, one of the world's most densely populated megacities, sits on a highly active seismic zone where the threat of major earthquakes is ever-present.",geotechnical artificial intelligence,2025-12-27,tokyo one world densely populated megacities sits highly active seismic zone threat major earthquake ever present,Geotechnical,"Predictive Analytics, Machine Learning",1,2
129,GE100 2025: Geotechnical industry braces for growth,"The geotechnical sector continues to anticipate growth in power and water, but skills shortages persist, with AI identified as a key opportunity.",geotechnical artificial intelligence,2025-12-27,geotechnical sector continues anticipate growth power water skill shortage persist identified key opportunity,Geotechnical,Artificial Intelligence,1,1
130,How ground engineers take advantage of automation in delivering real projects,"Oasys' GeoTech 2025 presentation will explore the evolution of geotechnical software, as well as the growing role of automation and AI.",geotechnical artificial intelligence,2025-12-27,oasys geotech 2025 presentation explore evolution geotechnical software well growing role automation,Geotechnical,"Robotics/Automation, Artificial Intelligence",1,2
131,Three case studies show AI in practice within geotechnical engineering,This approach has been found to work well for geotechnical problems with limited non-linearity. Machine learning enables the various combinations of input...,geotechnical artificial intelligence,2025-12-27,approach found work well geotechnical problem limited non linearity machine learning enables various combination input,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
132,‘Challenges and chances for the geotechnical sector’,"With longstanding challenges such as skills shortages and regulatory delays, alongside emerging opportunities in AI and sustainable construction,...",geotechnical artificial intelligence,2025-12-27,longstanding challenge skill shortage regulatory delay alongside emerging opportunity sustainable construction,"Geotechnical, Environmental Engineering",Artificial Intelligence,2,1
133,"Post-Doctoral Associate in Sand Hazards and Opportunities in Resilience, Energy, and Sustainability","Post-Doctoral Associate in Sand Hazards and Opportunities in Resilience, Energy, and Sustainability job in Abu Dhabi, United Arab Emirates with NEW YORK...",geotechnical machine learning,2025-12-27,post doctoral associate sand hazard opportunity resilience energy sustainability job abu dhabi united arab emirate new york,Environmental Engineering,Artificial Intelligence,1,1
134,Advanced machine learning techniques for predicting dump slope stability in Indian opencast coal mines,"The majority of India's coal is mined using opencast methods, which causes more waste dumps to be formed and stability problems. There is a higher chance of...",geotechnical machine learning,2025-12-27,majority india coal mined using opencast method cause waste dump formed stability problem higher chance,"Geotechnical, Environmental Engineering",Machine Learning,2,1
135,A comparative machine and deep learning approach for predicting ultimate bearing capacity of shallow foundations in cohesionless soil,"This study developed a Python-based framework to predict the ultimate bearing capacity of shallow foundations on cohesionless soil, employing machine...",geotechnical machine learning,2025-12-27,study developed python based framework predict ultimate bearing capacity shallow foundation cohesionless soil employing machine,"Structural, Geotechnical",Machine Learning,2,1
136,Comparative performance evaluation of machine learning models for predicting the ultimate bearing capacity of shallow foundations on granular soils,Accurate estimation of the ultimate bearing capacity (UBC) of shallow foundations is critical for safe and economical geotechnical design.,geotechnical machine learning,2025-12-27,accurate estimation ultimate bearing capacity ubc shallow foundation critical safe economical geotechnical design,"Structural, Geotechnical",Machine Learning,2,1
137,Geophysical-machine learning tool developed for continuous subsurface geomaterials characterization,"Thailand's northern regions, characterized by complex geology and active fault systems, experience frequent landslides that threaten both lives and critical...",geotechnical machine learning,2025-12-27,thailand northern region characterized complex geology active fault system experience frequent landslide threaten life critical,Structural,"Machine Learning, Artificial Intelligence",1,2
138,Bayesian deep reinforcement learning for uncertainty quantification and adaptive support optimization in deep foundation pit engineering,This study develops a novel framework integrating Bayesian inference with deep reinforcement learning for uncertainty quantification and adaptive support...,geotechnical machine learning,2025-12-27,study develops novel framework integrating bayesian inference deep reinforcement learning uncertainty quantification adaptive support,"Structural, Geotechnical","Generative Design, Machine Learning, Artificial Intelligence",2,3
139,Assessment of unconfined compressive strength of nano-doped fly ash-treated clayey soil using machine learning tools,This study presents a comparative framework for evaluating the predictive performance of four machine learning models namely Gradient Boosting Machine (GBM)...,geotechnical machine learning,2025-12-27,study present comparative framework evaluating predictive performance four machine learning model namely gradient boosting machine gbm,"Structural, Geotechnical","Predictive Analytics, Machine Learning",2,2
140,Machine learning sharpens earthquake risk assessment maps for Tokyo,"Tokyo, one of the world's most densely populated megacities, sits on a highly active seismic zone where the threat of major earthquakes is ever-present.",geotechnical machine learning,2025-12-27,tokyo one world densely populated megacities sits highly active seismic zone threat major earthquake ever present,Geotechnical,"Predictive Analytics, Machine Learning",1,2
141,Ground engineering: What’s on in October 2025 and beyond,Ground Engineering's monthly round-up of events from across the geotechnical sector includes the GeoTech 2025 conference and awards.,geotechnical machine learning,2025-12-27,ground engineering monthly round event across geotechnical sector includes geotech 2025 conference award,Geotechnical,,1,0
142,Three case studies show AI in practice within geotechnical engineering,"Three case studies demonstrate how geotechnical engineers are using artificial intelligence (AI) for design, analysis and information management.",geotechnical machine learning,2025-12-27,three case study demonstrate geotechnical engineer using artificial intelligence design analysis information management,"Structural, Geotechnical",Artificial Intelligence,2,1
143,Sydney Centre in Geomechanics and Mining Materials,"The Sydney Centre in Geomechanics and Mining Materials is a world leader in geomechanics, geotechnical engineering and granular mechanics. See our research.",geotechnical computer vision,2025-12-27,sydney centre geomechanics mining material world leader geomechanics geotechnical engineering granular mechanic see research,"Structural, Geotechnical",,2,0
144,Datarock announces beta launch of chip imagery system,"Datarock has announced the beta launch of Datarock Chip, a first of its kind machine learning system that extracts data from imagery.",geotechnical computer vision,2025-12-27,datarock announced beta launch datarock chip first kind machine learning system extract data imagery,,"Computer Vision, Machine Learning",0,2
145,Datarock announces the beta launch of Datarock Chip,"Datarock has announced the beta launch of Datarock Chip, a first of its kind machine learning system that extracts structured geological data from RC and...",geotechnical computer vision,2025-12-27,datarock announced beta launch datarock chip first kind machine learning system extract structured geological data,Structural,Machine Learning,1,1
146,"Datarock, Mining One and Cavroc forge strategic alliance to deliver next-generation mining insights","Datarock, Mining One and Cavroc have entered into a strategic alliance aimed at helping mining companies better connect data to decisions by uniting machine...",geotechnical computer vision,2025-12-27,datarock mining one cavroc entered strategic alliance aimed helping mining company better connect data decision uniting machine,,Artificial Intelligence,0,1
147,Triangle scientists work to promote STEM careers for International Day of Women & Girls in Science,"RALEIGH, N.C. (WTVD) -- Two Triangle women with jobs in Science, Technology, Engineering, and Math or STEM careers are working to inspire the next...",geotechnical computer vision,2025-12-27,raleigh wtvd two triangle woman job science technology engineering math stem career working inspire next,,,0,0
148,"IIT Roorkee GATE Cut Off 2025, Check Previous Year Cut Off",IIT Roorkee will release the GATE cutoff 2025 on official website soon. Candidates can check the IIT Roorkee Previous Year GATE Cut Off for different...,geotechnical computer vision,2025-12-27,iit roorkee release gate cutoff 2025 official soon candidate check iit roorkee previous year gate cut different,,,0,0
149,"GATE Cut Off for NITs, Check Previous Year's Cut Off for M.Tech",GATE Cut Off for NITs for 2025 will be released on conclusion of admission process. Candidates can find the previous year's GATE Cut Off for NITs M.Tech...,geotechnical computer vision,2025-12-27,gate cut nit 2025 released conclusion admission process candidate find previous year gate cut nit tech,,,0,0
150,"GATE Civil Engineering Notes 2026, Download Topic-Wise Free PDF",Utilize the GATE Civil Engineering Notes 2026 to excel your preparation for forthcoming exam. Get direct links to download the GATE Civil Notes 2026 PDF for...,geotechnical computer vision,2025-12-27,utilize gate civil engineering note 2026 excel preparation forthcoming exam direct link download gate civil note 2026 pdf,Structural,,1,0
151,"GATE CSE Notes 2026, Subject Wise Comprehensive PDFs",Explore the GATE CSE Notes 2026 in this article to boost your preparation. Access the well-organized GATE Computer Science & Engineering Study Material to...,geotechnical computer vision,2025-12-27,explore gate cse note 2026 boost preparation access well organized gate computer science engineering study material,,,0,0
152,Evaluation of the accuracy of three design methods for reinforced piled embankments,"The construction of road and railway embankments adheres to strict specifications, particularly regarding stability and limited settlements.",geotechnical generative AI,2025-12-27,construction road railway embankment adheres strict specification particularly regarding stability limited settlement,"Structural, Transportation",Artificial Intelligence,2,1
153,Three case studies show AI in practice within geotechnical engineering,"Three case studies demonstrate how geotechnical engineers are using artificial intelligence (AI) for design, analysis and information management.",geotechnical generative AI,2025-12-27,three case study demonstrate geotechnical engineer using artificial intelligence design analysis information management,"Structural, Geotechnical",Artificial Intelligence,2,1
154,Climate change impacts on geotechnical infrastructure: role of unsaturated soil mechanics for adaptation,"Climate change has intensified rainfall variability, droughts, and temperature extremes, amplifying the risks of instability and deformation in geotechnical...",geotechnical generative AI,2025-12-27,climate change intensified rainfall variability drought temperature extreme amplifying risk instability deformation geotechnical,"Structural, Geotechnical",Artificial Intelligence,2,1
155,Why AI won’t replace engineers but will empower firms to rethink their approach,"AI is making waves across every sector in the UK right now, and ground engineering is no exception. The key to successfully embracing and implementing AI...",geotechnical generative AI,2025-12-27,making wave across every sector right ground engineering exception key successfully embracing implementing,Geotechnical,Artificial Intelligence,1,1
156,Investigating air entrapment in biocemented composites for geotechnical ground improvement,Biocementation is a biomediated ground improvement method that can improve the engineering behavior of granular soils through the precipitation of calcium...,geotechnical generative AI,2025-12-27,biocementation biomediated ground improvement method improve engineering behavior granular soil precipitation calcium,Geotechnical,Artificial Intelligence,1,1
157,ERDC and NATO experiment advances engineer survivability,"FRECATEI, Romania— The U.S. Army Engineer Research and Development Center (ERDC), along with the NATO Military Engineering Working Group's Camouflage, C...",geotechnical generative AI,2025-12-27,frecatei romania army engineer research development center erdc along nato military engineering working group camouflage,,,0,0
158,Machine learning based prediction of geotechnical parameters affecting slope stability in open-pit iron ore mines in high precipitation zone,This study introduces an innovative AI-driven system designed to predict the geotech- nical properties of slopes post-monsoon season.,geotechnical generative AI,2025-12-27,study introduces innovative driven system designed predict geotech nical property slope post monsoon season,"Structural, Geotechnical","Predictive Analytics, Machine Learning, Artificial Intelligence",2,3
159,Optimized T-shaped soil-cement deep mixing column for sustainable ground improvement,"Since the introduction of Deep Cement Mixing (DCM) technology, it has been widely applied to enhance the strength and stability of problematic soil.",geotechnical generative AI,2025-12-27,since introduction deep cement mixing dcm technology widely applied enhance strength stability problematic soil,"Structural, Geotechnical, Environmental Engineering","Generative Design, Artificial Intelligence",3,2
160,"Committee on Geological and Geotechnical Engineering Webinar Series: A Replicable Geohazard Decision Framework Applied to the Spirit Lake/Toutle River Watershed, Mount St. Helens",The 1980 eruption of Mount St. Helens in southwest Washington State radically changed the physical and socio-economic landscapes of the region.,geotechnical neural networks,2025-12-27,1980 eruption mount helen southwest washington state radically changed physical socio economic landscape region,"Structural, Geotechnical",,2,0
161,Machine Learning Sharpens Earthquake Risk Assessment Maps for Tokyo｜Shibaura Institute of Technology,Researchers train a model to accurately predict soil properties and the risk of soil liquefaction in high-resolution 3D maps.,geotechnical neural networks,2025-12-27,researcher train model accurately predict soil property risk soil liquefaction high resolution map,Geotechnical,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
162,Three case studies show AI in practice within geotechnical engineering,"Three case studies demonstrate how geotechnical engineers are using artificial intelligence (AI) for design, analysis and information management.",geotechnical neural networks,2025-12-27,three case study demonstrate geotechnical engineer using artificial intelligence design analysis information management,"Structural, Geotechnical",Artificial Intelligence,2,1
163,Climate change impacts on geotechnical infrastructure: role of unsaturated soil mechanics for adaptation,"Climate change has intensified rainfall variability, droughts, and temperature extremes, amplifying the risks of instability and deformation in geotechnical...",geotechnical neural networks,2025-12-27,climate change intensified rainfall variability drought temperature extreme amplifying risk instability deformation geotechnical,"Structural, Geotechnical",Artificial Intelligence,2,1
164,Early detection of climate change-induced shallow landslides with IoT-technology,"Climate change in the Alps is increasing winter rainfall and raising the snowline, thereby elevating the risk of shallow landslides and threatening...",geotechnical neural networks,2025-12-27,climate change alp increasing winter rainfall raising snowline thereby elevating risk shallow landslide threatening,,Artificial Intelligence,0,1
165,FDRL: a data-driven algorithm for forecasting subsidence velocities in Himalayas using conventional and traditional soil features,"Landslides are a frequent geohazard within the Himalayas, threatening human lives, infrastructure, and indigenous economies. Traditional subsidence velocity...",geotechnical neural networks,2025-12-27,landslide frequent geohazard within himalaya threatening human life infrastructure indigenous economy traditional subsidence velocity,"Structural, Geotechnical","Predictive Analytics, Machine Learning",2,2
166,Advancements in predicting soil liquefaction susceptibility: a comprehensive analysis of ensemble and deep learning approaches,"This study advances the development of robust tools for assessing liquefaction hazards, thereby enhancing strategies for seismic risk mitigation.",geotechnical neural networks,2025-12-27,study advance development robust tool assessing liquefaction hazard thereby enhancing strategy seismic risk mitigation,"Structural, Geotechnical",Machine Learning,2,1
167,Development of an optimized deep learning model for predicting slope stability in nano silica stabilized soils,"Assessing the stability of infinite slopes is a critical challenge in geotechnical engineering, particularly by introducing Nano-silica (NS) stabilization,...",geotechnical neural networks,2025-12-27,assessing stability infinite slope critical challenge geotechnical engineering particularly introducing nano silica stabilization,Geotechnical,"Generative Design, Machine Learning",1,2
168,Terranova gets seed funding to deploy terraforming robots,"The funding will allow Terranova to begin its first flood-mitigation projects, scale production of its robot systems, and grow its team.",geotechnical robotics,2025-12-27,funding allow terranova begin first flood mitigation project scale production robot system grow team,,Robotics/Automation,0,1
169,Ocean Infinity to perform geotechnical survey for UK’s fifth subsea electricity superhighway,"Marine robotics company Ocean Infinity is set to begin a geotechnical survey later this month for Eastern Green Link (EGL5), the UK's fifth subsea...",geotechnical robotics,2025-12-27,marine robotics company ocean infinity set begin geotechnical survey later month eastern green link egl5 fifth subsea,"Geotechnical, Transportation",Robotics/Automation,2,1
170,Terranova Raises $7 Million in Seed Round Led by Outlander & Congruent Ventures to Bring Terraforming Robots to Market,"Terranova, a terraforming robotics company developing autonomous systems to lift and stabilize flood-prone terrain, has emerged from stealth with a $7...",geotechnical robotics,2025-12-27,terranova terraforming robotics company developing autonomous system lift stabilize flood prone terrain emerged stealth,,"Robotics/Automation, Artificial Intelligence",0,2
171,Jevons Robotics launches ARTEV1000: Orica among the first to adopt revolutionary step change technology,"Jevons Robotics announces the launch of the ARTEV1000, a cutting-edge, automated rugged terrain electric vehicle to augment the success of its larger...",geotechnical robotics,2025-12-27,jevons robotics announces launch artev1000 cutting edge automated rugged terrain electric vehicle augment success larger,,"Robotics/Automation, Artificial Intelligence",0,2
172,Oceaneering upgrades Ocean Intervention II vessel for autonomous survey missions,"Oceaneering International, Inc. announces that its Subsea Robotics segment has upgraded the Ocean Intervention II (OI2), an Oceaneering-owned oceanographic...",geotechnical robotics,2025-12-27,oceaneering international inc announces subsea robotics segment upgraded ocean intervention oi2 oceaneering owned oceanographic,,Robotics/Automation,0,1
173,Oceaneering Upgrades Survey Vessel for Simultaneous Autonomous Missions,U.S.,geotechnical robotics,2025-12-27,,,Robotics/Automation,0,1
174,Watch: Robotic analysis in geotechnical monitoring: ‘Spot the dog’ trials,"National Highways' Guy Swains explored the results of trials conducted by National Highways in collaboration with Bam Ritchies, Aecom and Arup.",geotechnical robotics,2025-12-27,national highway guy swain explored result trial conducted national highway collaboration bam ritchies aecom arup,"Structural, Geotechnical, Transportation","Robotics/Automation, Artificial Intelligence",3,2
175,Three Projects Advancing the Role of Robotics in Civil Engineering,"Five photoelastic spheres squeezed by the hands of Wei Li, who is working on a research project aimed to create tactile sensing robots.",geotechnical robotics,2025-12-27,five photoelastic sphere squeezed hand wei working research project aimed create tactile sensing robot,,"Robotics/Automation, Artificial Intelligence",0,2
176,"Geocomp, Inc. Announces the Retirement of Founder Dr. W. Allen Marr","Geocomp, Inc. announces the retirement of its founder, Dr. W. Allen Marr, PE, PhD, NAE, marking the close of more than 50 years of technical leadership.",geotechnical automation,2025-12-27,geocomp inc announces retirement founder allen marr phd nae marking close year technical leadership,,,0,0
177,Heave compensation technology for geotechnical drilling vessels from MintMech,"Cornwall-based specialist engineer MintMech has developed a heave-compensation system to combat the up-and-down motion of a vessel, which prevents delicate...",geotechnical automation,2025-12-27,cornwall based specialist engineer mintmech developed heave compensation system combat motion vessel prevents delicate,Geotechnical,,1,0
178,GE100 2025: Geotechnical industry braces for growth,"The geotechnical sector continues to anticipate growth in power and water, but skills shortages persist, with AI identified as a key opportunity.",geotechnical automation,2025-12-27,geotechnical sector continues anticipate growth power water skill shortage persist identified key opportunity,Geotechnical,Artificial Intelligence,1,1
179,How ground engineers take advantage of automation in delivering real projects,"Oasys' GeoTech 2025 presentation will explore the evolution of geotechnical software, as well as the growing role of automation and AI.",geotechnical automation,2025-12-27,oasys geotech 2025 presentation explore evolution geotechnical software well growing role automation,Geotechnical,"Robotics/Automation, Artificial Intelligence",1,2
180,‘Challenges and chances for the geotechnical sector’,"With challenges such as skills shortages and regulatory delays, ground engineers face an uncertain yet potentially transformative year.",geotechnical automation,2025-12-27,challenge skill shortage regulatory delay ground engineer face uncertain yet potentially transformative year,Geotechnical,Artificial Intelligence,1,1
181,"Senceive, Sisgeo join forces for greater automation of geotechnical monitoring",The move follows Eddyfi Technologies' acquisition of sensor manufacturer Sisgeo and Swiss dam monitoring specialist Huggenberger. It bought remote monitoring...,geotechnical automation,2025-12-27,move follows eddyfi technology acquisition sensor manufacturer sisgeo swiss dam monitoring specialist huggenberger bought remote monitoring,Geotechnical,Robotics/Automation,1,1
182,Canary Systems is redefining slope stability monitoring,Slope stability monitoring is one of the most essential safety considerations in open-pit mining.,geotechnical automation,2025-12-27,slope stability monitoring one essential safety consideration open pit mining,"Geotechnical, Construction Management",,2,0
183,Minimising downtime on drilling vessels,"Operating a marine geotechnical vessel often feels like playing a game of whack-a-mole: challenges and issues can pop up seemingly at random, each one a...",geotechnical automation,2025-12-27,operating marine geotechnical vessel often feel like playing game whack mole challenge issue pop seemingly random one,Geotechnical,,1,0
184,China’s 600 km/h AI-Powered Maglev Train Sets New Speed Record After 5 Years of R&D,"According to @ai_darpa, China has unveiled a maglev train prototype capable of reaching 600 km/h, making it the fastest ground transportation system...",transportation artificial intelligence,2025-12-27,darpa china unveiled maglev train prototype capable reaching 600 making fastest ground transportation system,"Geotechnical, Transportation",Artificial Intelligence,2,1
185,China Breaks Speed Records with AI-Powered Superconducting Maglev: 700 km/h in 2 Seconds Sets New Benchmark,"According to @ai_darpa, China has achieved a groundbreaking milestone by propelling a 1-ton test vehicle to 700 km/h in just 2 seconds using a...",transportation artificial intelligence,2025-12-27,darpa china achieved groundbreaking milestone propelling ton test vehicle 700 second using,Geotechnical,Artificial Intelligence,1,1
186,Kargo Raises $42 Million to Scale AI Warehouse Tech,Kargo has secured $42 million in new funding as the warehouse automation company scales its loading dock technology with enterprise customers across...,transportation artificial intelligence,2025-12-27,kargo secured million new funding warehouse automation company scale loading dock technology enterprise customer across,Structural,"Robotics/Automation, Artificial Intelligence",1,2
187,Artificial Intelligence in Transportation Market Set,"Press release - Coherent Market Insights Pvt. Ltd. - Artificial Intelligence in Transportation Market Set for Dynamic Growth with Key Players Peloton,...",transportation artificial intelligence,2025-12-27,press release coherent market insight pvt ltd artificial intelligence transportation market set dynamic growth key player peloton,Transportation,Artificial Intelligence,1,1
188,How Can AI Combat Climate Change?,"In this free climate change resource, learn how AI is helping countries reduce carbon emissions, but some innovations could ultimately contribute to a warming...",transportation artificial intelligence,2025-12-27,free climate change resource learn helping country reduce carbon emission innovation ultimately contribute warming,,Artificial Intelligence,0,1
189,AI in Transportation Software Development: A Complete Guide,"AI chatbots in transportation are transforming how passengers interact with service providers. They can check routes, track delays, or get updates instantly...",transportation artificial intelligence,2025-12-27,chatbots transportation transforming passenger interact service provider check route track delay update instantly,Transportation,Artificial Intelligence,1,1
190,AI in Self-Driving Cars: The Revolution You Need to Know,"Explore the impact of AI in self-driving cars, from Tesla's FSD to Waymo's robotaxis, and see why industry giants are investing billions.",transportation artificial intelligence,2025-12-27,explore impact self driving car tesla fsd waymo robotaxis see industry giant investing billion,,"Robotics/Automation, Artificial Intelligence",0,2
191,How Did Nearly Half of U.S. Transportation Leaders Use AI to Navigate Q4 Peak Season?,"Nearly half (49%) of U.S. transportation leaders say artificial intelligence (AI) reshaped how they managed this year's Q4 peak season, according to a survey...",transportation artificial intelligence,2025-12-27,nearly half transportation leader say artificial intelligence reshaped managed year peak season survey,Transportation,Artificial Intelligence,1,1
192,Intel Radically Streamlines its Transportation Spend with Rate Request Automation,Intel Corp.'s Global Logistics Org (GLO) and Corporate Strategic Procurement (CSP) divisions together manage the tech giant's transportation carrier...,transportation artificial intelligence,2025-12-27,intel corp global logistics org glo corporate strategic procurement csp division together manage tech giant transportation carrier,Transportation,"Robotics/Automation, Machine Learning",1,2
193,How did COVID-19 change urban traffic?,"NRMSE-based comparison of five machine learning models (LR, SVR, RNN, Uni-LSTM, and Bi-LSTM) across the three COVID-19 periods.",transportation machine learning,2025-12-27,nrmse based comparison five machine learning model svr rnn uni lstm lstm across three covid period,Transportation,Machine Learning,1,1
194,CTS Webinar: Preparing Transportation Professionals for AI Integration,"Monday, December 15, 2025, 12:00–1:30 pm (Virtual) REGISTER About the Event Artificial intelligence (AI) is rapidly reshaping how we design, plan,...",transportation machine learning,2025-12-27,monday december 2025 virtual register event artificial intelligence rapidly reshaping design plan,"Structural, Transportation",Artificial Intelligence,2,1
195,A study on the formation mechanism of ancient transportation routes based on explainable machine learning,"1). The formation of Shu Road is the result of multiple geographical, military, political and economic factors. The Qinling Mountains and Daba Mountains are the...",transportation machine learning,2025-12-27,formation shu road result multiple geographical military political economic factor qinling mountain daba mountain,Transportation,"Machine Learning, Artificial Intelligence",1,2
196,AI in Transportation Software Development: A Complete Guide,"Discover how AI in transportation software development drives efficiency, safety, and sustainability through predictive analytics and automation.",transportation machine learning,2025-12-27,discover transportation software development drive efficiency safety sustainability predictive analytics automation,"Transportation, Construction Management, Environmental Engineering","Predictive Analytics, Robotics/Automation, Artificial Intelligence",3,3
197,Unifying graph neural networks causal machine learning and conformal prediction for robust causal inference in rail transport systems,"Modeling the operational dynamics of intricate rail transit systems faces three significant challenges: addressing network-wide dependencies,...",transportation machine learning,2025-12-27,modeling operational dynamic intricate rail transit system face three significant challenge addressing network wide dependency,Transportation,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
198,Multistage prediction approach of EVs charging performance in smart transportation systems by deep learning technique,Studies such as in demonstrate a schedule for coordinated EVs charging through actual data to maintain customer satisfaction using a genetic algorithm of...,transportation machine learning,2025-12-27,study demonstrate schedule coordinated charging actual data maintain customer satisfaction using genetic algorithm,Transportation,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
